business.name.sneaker_store	business	Магазин кроссовок	Sneaker Store		
business.name.supercar_showroom	business	Шоурум суперкаров	Supercar Showroom		
business.name.shinka	business	Шиномонтаж	Tire Service		
business.name.auto_service	business	Автосервис	Auto Service		
business.name.car_dealer	business	Автосалон	Car Dealership		
business.name.sportcar_rental	business	Прокат спорткаров	Sports Car Rental		
business.name.yacht_marina	business	Марина для яхт	Yacht Marina		
business.name.yacht_club	business	Яхт-клуб	Yacht Club		
business.name.private_boat_rental	business	Прокат частных лодок	Private Boat Rental		
business.name.private_vessel_showroom	business	Салон по продаже яхт	Private Vessel Showroom		
business.name.jet_ski_rental	business	Прокат гидроциклов	Jet Ski Rental		
business.name.private_jet_service	business	Частные рейсы	Private Jet Service		
business.name.cargo_airline	business	Авиаклуб	Aviation Club		
business.name.aero_club	business	Авиа туры	Air Tours		
business.name.aircraft_hangar	business	Ангар для самолётов	Aircraft Hangar		
business.name.airport	business	Аэропорт	Airport		
business.name.construction_company	business	Строительная компания	Construction Company		
business.name.interior_design_studio	business	Студия дизайна	Design Studio		
business.name.real_estate_agency	business	Агентство недвижимости	Real Estate Agency		
business.name.urban_developer	business	Городской застройщик	Urban Developer		
business.name.apartment_network	business	Сеть апартаментов	Apartment Network		
business.skill.collect_money	business	Собрать деньги	Collect money		
business.skill.collect_profit	business	Собрать прибыль	Collect profit		
business.skill.increase_income	business	Увеличить доход	Increase income		
business.skill.boost_income	business	Усилить доход	Boost income		
business.skill.collect_revenue	business	Получить выручку	Collect revenue		
temki.name.temka_sneakers	temki	Продать кроссы	Sell sneakers		
temki.description.temka_sneakers	temki	Попробовать реализовать партию новой коллекции	Try to sell a batch from a new collection		
temki.name.temka_car_run	temki	Перегнать тачку	Move a car		
temki.description.temka_car_run	temki	Купил, пригнал, надеюсь что купят	Bought it, moved it, hope someone buys it		
temki.name.temka_listing	temki	Обещанный листинг	Promised listing		
temki.description.temka_listing	temki	Закуплю монет на старте, вдруг взлетит	Buy coins at launch, maybe it moons		
temki.name.temka_container	temki	Портовый контейнер	Port container		
temki.description.temka_container	temki	Иногда там что-то ценное	Sometimes there is something valuable inside		
temki.name.temka_casino	temki	Ставка в казик	Casino bet		
temki.description.temka_casino	temki	Я фартовый, мне залетит	I am lucky, this will hit		
temki.name.temka_long_deal	temki	Долгая схема	Long scheme		
temki.description.temka_long_deal	temki	Зайдет не быстро, но может окупить весь день	Not fast, but it can pay for the whole day		
collection.name.auto	collection	Автомобили	Cars		
collection.description.auto	collection	Коллекция автомобилей усиливает доход автобизнеса.	A car collection boosts income from car businesses.		
collection.name.branded_clothes	collection	Брендовая одежда	Branded Clothes		
collection.description.branded_clothes	collection	Коллекция брендовой одежды усиливает доход товарного бизнеса.	A branded clothing collection boosts income from goods businesses.		
collection.name.premium_real_estate	collection	Премиум-недвижимость	Premium Real Estate		
collection.description.premium_real_estate	collection	Коллекция премиум-недвижимости усиливает доход строительного бизнеса.	A premium real estate collection boosts income from construction businesses.		
collection.name.yachts_and_boats	collection	Яхты и катера	Yachts and Boats		
collection.description.yachts_and_boats	collection	Коллекция яхт усиливает доход морского бизнеса.	A yacht collection boosts income from sea businesses.		
collection.name.air_transport	collection	Авиатранспорт	Air Transport		
collection.description.air_transport	collection	Коллекция авиатранспорта усиливает доход авиабизнеса.	An air transport collection boosts income from aviation businesses.		
collection.card.auto.auto_card_01	collection	Supra	Supra		
collection.card.auto.auto_card_02	collection	Mustang GT	Mustang GT		
collection.card.auto.auto_card_03	collection	Escalade	Escalade		
collection.card.auto.auto_card_04	collection	Mercedes G63	Mercedes G63		
collection.card.auto.auto_card_05	collection	Porsche 911	Porsche 911		
collection.card.auto.auto_card_06	collection	Range Rover SV	Range Rover SV		
collection.card.auto.auto_card_07	collection	GTR	GTR		
collection.card.auto.auto_card_08	collection	Urus	Urus		
collection.card.auto.auto_card_09	collection	Ferrari 812	Ferrari 812		
collection.card.auto.auto_card_10	collection	Cullinan	Cullinan		
collection.final.auto.auto_final	collection	Бугатти Вейрон	Bugatti Veyron		
collection.card.branded_clothes.branded_clothes_card_01	collection	Surpim	Surpim		
collection.card.branded_clothes.branded_clothes_card_02	collection	NK Sneakers	NK Sneakers		
collection.card.branded_clothes.branded_clothes_card_03	collection	Off Fight Hoodie	Off Fight Hoodie		
collection.card.branded_clothes.branded_clothes_card_04	collection	Monsler	Monsler		
collection.card.branded_clothes.branded_clothes_card_05	collection	LV Bag	LV Bag		
collection.card.branded_clothes.branded_clothes_card_06	collection	Gold Rolexes	Gold Rolexes		
collection.card.branded_clothes.branded_clothes_card_07	collection	Piget Royal	Piget Royal		
collection.card.branded_clothes.branded_clothes_card_08	collection	RM 11	RM 11		
collection.card.branded_clothes.branded_clothes_card_09	collection	Cartier Bracelet	Cartier Bracelet		
collection.card.branded_clothes.branded_clothes_card_10	collection	Astronomy Watch	Astronomy Watch		
collection.final.branded_clothes.branded_clothes_final	collection	Часы тифани	Tiffany Watch		
collection.card.premium_real_estate.premium_real_estate_card_01	collection	NYC Loft	NYC Loft		
collection.card.premium_real_estate.premium_real_estate_card_02	collection	City Penthouse	City Penthouse		
collection.card.premium_real_estate.premium_real_estate_card_03	collection	Bali Villa	Bali Villa		
collection.card.premium_real_estate.premium_real_estate_card_04	collection	Courchevel Chalet	Courchevel Chalet		
collection.card.premium_real_estate.premium_real_estate_card_05	collection	Beverly Mansion	Beverly Mansion		
collection.card.premium_real_estate.premium_real_estate_card_06	collection	Riviera Villa	Riviera Villa		
collection.card.premium_real_estate.premium_real_estate_card_07	collection	Como Villa	Como Villa		
collection.card.premium_real_estate.premium_real_estate_card_08	collection	Dubai Estate	Dubai Estate		
collection.card.premium_real_estate.premium_real_estate_card_09	collection	Monaco Residence	Monaco Residence		
collection.card.premium_real_estate.premium_real_estate_card_10	collection	Island Villa	Island Villa		
collection.final.premium_real_estate.premium_real_estate_final	collection	Вилла Леопольда	Villa Leopolda		
collection.card.yachts_and_boats.yachts_and_boats_card_01	collection	Yamaha FX	Yamaha FX		
collection.card.yachts_and_boats.yachts_and_boats_card_02	collection	Sea Ray	Sea Ray		
collection.card.yachts_and_boats.yachts_and_boats_card_03	collection	Bayliner VR6	Bayliner VR6		
collection.card.yachts_and_boats.yachts_and_boats_card_04	collection	Axpar	Axpar		
collection.card.yachts_and_boats.yachts_and_boats_card_05	collection	Princess	Princess		
collection.card.yachts_and_boats.yachts_and_boats_card_06	collection	Predator	Predator		
collection.card.yachts_and_boats.yachts_and_boats_card_07	collection	Ferretti	Ferretti		
collection.card.yachts_and_boats.yachts_and_boats_card_08	collection	Riva Corsaro	Riva Corsaro		
collection.card.yachts_and_boats.yachts_and_boats_card_09	collection	Benetti Oasis	Benetti Oasis		
collection.card.yachts_and_boats.yachts_and_boats_card_10	collection	Moonlight	Moonlight		
collection.final.yachts_and_boats.yachts_and_boats_final	collection	Аззам	Azzam		
collection.card.air_transport.air_transport_card_01	collection	Cessna 172	Cessna 172		
collection.card.air_transport.air_transport_card_02	collection	SR22	SR22		
collection.card.air_transport.air_transport_card_03	collection	PC-12	PC-12		
collection.card.air_transport.air_transport_card_04	collection	King Air	King Air		
collection.card.air_transport.air_transport_card_05	collection	Phenom 300	Phenom 300		
collection.card.air_transport.air_transport_card_06	collection	Learjet 75	Learjet 75		
collection.card.air_transport.air_transport_card_07	collection	Falcon 2000	Falcon 2000		
collection.card.air_transport.air_transport_card_08	collection	Gulfstream	Gulfstream		
collection.card.air_transport.air_transport_card_09	collection	Global 7500	Global 7500		
collection.card.air_transport.air_transport_card_10	collection	Business Jet	Business Jet		
collection.final.air_transport.air_transport_final	collection	Эйрбас АСЖ 350	Airbus ACJ 350		
crash.potential_win_title	crash	Потенциальный выигрыш	Potential win		
collections.this_business_type	collections	бизнесов этого типа	for this business type		
collections.income_this_business_type	collections	доход бизнесов этого типа	income for this business type		
risky.success_with_icon	risky	🏆 Успешная сделка	🏆 Successful deal		
scene.failed_deal_with_icon	scene	✖ Сделка сорвалась	✖ Deal failed		
risky.waiting_new_opportunities	risky	Ожидание новых возможностей	Waiting for new opportunities		
number.thousand_suffix	number	 тыс	K		
number.million_suffix	number	 млн	M		
number.billion_suffix	number	 млрд	B		
helper.temki	helper	Быстрые деньги, но высокий риск. Угадай куда пойдет график и умножь свою ставку на x5 x10 или даже x20	Fast money, high risk. Guess where the chart goes and multiply your stake by x5, x10, or even x20.		
helper.collections	helper	Собирай коллекции, чтобы усиливать доход бизнесов.	Collect items to boost your business income.		
currency.rubles_short	currency	руб	R		
